,Title,Link,Description
0,Does Deep Learning always have to Reinvent the Wheel?,https://towardsdatascience.com/does-deep-learning-always-have-to-reinvent-the-wheel-2c526018c5c5?source=collection_category---4------0-----------------------,"Machine learning and in particular deep learning revolutionize the world as we know it today. We have seen tremendous advances in speech and image recognition, followed by the application of deep learning to many other domains. In many of those domains, deep learning is now the state of the art or is even going beyond it. A clear trend is that networks are growing more and more complex and more and more computationally demanding.Today, we are building ever-increasing networks that are built on top of previous generations of network topologies. As neural networks are inherently compatible with other neural networks, we are able to combine and adapt them to new purposes. If you aim to tackle a new problem there are no clear guidelines that define an appropriate network topology. The most common approaches are to have a look at the work of others that attempted to solve similar problems or to design an entirely new topology on your own. This new design is often inspired by classical methods, but it is up to the network and the training data to learn the correct weights such that they converge to a plausible solution. As such they are even networks that learn well-known functions such as the Fourier transform from scratch. With the discrete Fourier transform being a matrix multiplication, it is often modeled as a fully connected layer. With this approach it is immediately clear that two disadvantages cannot be avoided: First, the fully connected layer introduces a lot of free parameters that may model entirely different functions. Second, the computational efficiency of a fast Fourier transform can never be reached with this approach.If we already know that a specific function is required to solve a particular problem, it comes to our mind to ask the question of whether it would not be of advantage to include it into the structure of our network as a kind of prior knowledge. The method of Known Operator Learning investigates exactly this procedure in a new theoretical framework. While this idea seems simple and intuitive, the theoretical analysis identifies also clear advantages: First, the introduction of a known operation into a neural network always results in a lower or equal maximal training error bound. Second, the number of free parameters in the model is reduced and therewith also the size of the required training data is reduced. Another interesting observation is that any operation that allows the computation of a gradient with respect to the inputs may be embedded into a neural network. In fact, even a sub-gradient is already sufficient as we know from, e.g., max-pooling operations.Interestingly, this piece of theory was only published in 2019. It was developed for the theoretical analysis of embedding of physical prior knowledge into neural networks. Yet, the observations also very nicely explain why we see the tremendous success of convolutional neural networks and pooling layers. In analogy to biology, we could argue that convolution and pooling operations are prior knowledge on perception. Recent work goes even further: there exist approaches that even include complicated filter functions such as Vesselness Filter or the Guided Filter into a neural network.The theoretical analysis also shows that modeling errors in earlier layers are amplified by subsequent layers. This observation is also in line with the importance of feature extraction in classical machine learning and pattern analysis. A combination of feature extraction and classification as it is done in deep learning, allows us to synchronize both processes and therewith reduces the expected error after training.As precision learning allows the combination of classical theoretical approaches and deep learning, we are now able to drive these ideas even one step further: A recent publication proposes to derive an entire neural network topography for a specific problem from the underlying physical equations. The beauty of this approach is that many of the operators and building blocks of the topology are well-known and can be implemented efficiently. Yet, they were still operations that are computationally very inefficient. However, we know from other solutions to similar problems that particular matrix inverses or other less tractable operations can be represented by other functions. In this example, an expensive matrix inverse is replaced with a circulant matrix, i.e., a convolutional layer which is the only learnable part of the proposed network. In their experiments, they demonstrate that the proposed architecture indeed tackles the problem that could previously only be approximately solved. Although they only trained on simulated data, the application on real data is also successful. Hence, the inclusion of prior knowledge also supports building network architectures that generalize well towards specific problems.We think that these new approaches are interesting towards the community of deep learning that is going well beyond only modeling perceptual tasks today. To us, it is exciting to see that traditional approaches are inherently compatible with everything that is done today in deep learning. Hence, we believe that there are many more new developments to come in the field of machine and deep learning in the near future and it will be exciting to follow up on them.If you think that these observations are interesting and exciting, we recommend reading our gentle introduction into deep learning as a follow up on this article (link ) or our free Deep Learning resources.Text and images of this article are licensed under Creative Commons License 4.0 Attribution. So feel free to reuse and share any part of this work. This article was published first at MarkTechPost.com.WRITTEN BY"
1,Roadmap to Computer Vision,https://towardsdatascience.com/roadmap-to-computer-vision-79106beb8be4?source=collection_category---4------1-----------------------,"Computer Vision (CV) is nowadays one of the main application of Artificial Intelligence (eg. Image Recognition, Object Tracking, Multilabel Classification). In this article, I will walk you through some of the main steps which compose a Computer Vision System.A standard representation of the workflow of a Computer Vision system is:We will now briefly walk through some of the main processes our data might go through each of these three different steps.When trying to implement a CV system, we need to take into consideration two main components: the image acquisition hardware and the image processing software. One of the main requirements to meet in order to deploy a CV system is to test its robustness. Our system should, in fact, be able to be invariant to environmental changes (such as changes in illumination, orientation, scaling) and able to perform it’s designed task repeatably. In order to satisfy these requirements, it might be necessary to apply some form of constraints to either the hardware or software of our system (eg. remotely control the lighting environment).Once an image is acquired from a hardware device, there are many possible ways to numerically represents colours (Colour Spaces) within a software system. Two of the most famous colour spaces are RGB (Red, Green, Blue) and HSV (Hue, Saturation, Value). One of the main advantages of using an HSV colour space is that by taking just the HS components we can make our system illumination invariant (Figure 1).Once an image enters a system and is represented by using a colour space, we can then apply different operators on the image in order to improve its representation:Once pre-processed an image, we can then apply more advanced techniques in order to try to extract the edges and shapes within an image by using methods such as First Order Edge Detection (eg. Prewitt Operator, Sobel Operator, Canny Edge Detector) and Hough Transforms.Once pre-processed an image, there are 4 main types of Feature Morphologies which can be extracted from an image by using a Feature Extractor:Once extracted a set of discriminative features, we can then use them in order to train a Machine Learning model to make inference. Feature descriptors can be easily applied in Python using libraries such as OpenCV.One of the main concept used in Computer Vision to classify an image is the Bag of Visual Words (BoVW). In order to construct a Bag of Visual Words, we need first of all to create a vocabulary by extracting all the features from a set of images (eg. using grid-based features or local features). Successively, we can then count the number of times an extracted feature appears in an image and build a frequency histogram from the results. Using the frequency histogram as a basic template, we can finally classify if an image belongs to the same class or not by comparing their histograms (Figure 3).This process can be summarised in the following few steps:New images can then be classified by repeating this same process for each image we want to classify and then using any classification algorithm to find out which image in our vocabulary resembles the most our test image.Nowadays, thanks to the creation of Artificial Neural Networks architectures such as Convolutional Neural Networks (CNNs) and Recurrent Artificial Neural Networks (RCNNs), it has been possible to ideate an alternative workflow for Computer Vision (Figure 4).In this case, the Deep Learning Algorithm incorporates both the Feature Extraction and Classification steps of the Computer Vision workflow. When using Convolutional Neural Networks, each layer of the neural network applies the different feature extraction techniques at his description (eg. Layer 1 detects edges, Layer 2 finds shapes in an image, Layer 3 segments the image, etc…) before providing the feature vectors to the dense layer classifier.Further applications of Machine Learning in Computer Vision include areas such as Multilabel Classification and Object Recognition. In Multilabel Classification, we aim to construct a model able to correctly identify how many objects there are in an image and to what class they do belong to. In Object Recognition instead, we aim to take this concept a step further by identifying also the position of the different objects in the image.If you want to keep updated with my latest articles and projects follow me on Medium and subscribe to my mailing list. These are some of my contacts details:[1] Modular robot used as a beach cleaner, Felippe Roza. Researchgate. Accessed at: https://www.researchgate.net/figure/RGB-left-and-HSV-right-color-spaces_fig1_310474598[2] Bag of visual words in OpenCV, Vision & Graphics Group. Jan Kundrac. Accessed at: https://vgg.fiit.stuba.sk/2015-02/bag-of-visual-words-in-opencv/[3] Deep Learning Vs. Traditional Computer Vision. Haritha Thilakarathne, NaadiSpeaks. Accessed at: https://naadispeaks.wordpress.com/2018/08/12/deep-learning-vs-traditional-computer-vision/WRITTEN BY"
2,Should you really use machine learning for that?,https://towardsdatascience.com/should-you-really-use-machine-learning-for-that-d781a80aa0fb?source=collection_category---4------0-----------------------,"Disclaimer: The following is based on my observations of machine learning teams — not an academic survey of the industry. For context, I’m a contributor to Cortex, an open source platform for deploying models in production.Machine learning is in an awkward phase.Its viability has been thoroughly proven—all of the most popular mobile apps use it in some way—but the ecosystem hasn’t quite matured to the point to where the uninitiated can quickly ramp up.It’s difficult for teams to decide when to introduce machine learning, particularly if no one on the team is a data scientist. Software engineers—while typically having some high level understanding of machine learning—often lack the domain expertise to know whether their problem is suited to ML.The goal of this article is to present a series of informative questions for teams curious about using production machine learning. It isn’t to discuss what problems are theoretically solvable via machine learning, but rather to help teams that don’t have in-house data scientists understand whether or not applied machine learning could be effective.Without any experienced machine learning engineers or data scientists, the hardest question for you to answer will be “Is it even possible to solve this with machine learning?”You have three choices for answering this question:The first two will cost you significant time or money. The last one might take a day of Googling.Taking a look around the field will also have the added benefit of showing you where to begin. It is unlikely—given that you don’t have a data scientist on your team—that you will be designing your own model architecture for this problem. If you want to build a support agent, look at how other companies build theirs (you’ll inevitably come across Rasa and Google’s Meena).Getting a feel for what models and approaches have been used to solve problems like yours will give you a sense of where you should start. For example, Robert Lucian is an engineer who built a popular DIY license plate reader. His solution relied on a few pre-existing models for object detection and text extraction:As you can see from his write up, he began the machine learning portion of his project simply by looking around at what other people were using in similar domains. He eventually found a model that had been fine tuned specifically for license plates, as well as an effective model for text extraction. He was able to put both into production fairly quickly.Unless your problem is solvable using vanilla pre-trained models, you will need some relevant data to train your model.If you are building a recommendation engine, you will need data on user profile attributes as well as viewing habits. If you are building a customer support agent, you will need docs for it to train on. In order for a model to be tailored to your domain, you need data from said domain to train it on.However, this data doesn’t necessarily need to be proprietary. Even if you haven’t collected sophisticated data from your users, there still may be publicly available data sources you can leverage.For example, AI Dungeon is an ML-powered choose-your-own-adventure text game that went viral a few months ago:The game generates results on par with state-of-the-art models, despite the engineer behind it (Nick Walton) fine tuning his model with only 50 MB of text scraped from chooseyourstory.com. This approach worked thanks to transfer learning, a technique in which the “knowledge” of a model—in this case, OpenAI’s GPT-2—is transferred to a new model, fine tuned to a more specific domain (like dungeon crawler fiction) using a smaller data set.In many situations, machine learning is a tool for the job, but not necessarily the best one. If machine learning doesn’t provide tangible performance benefits over other solutions, it is not worth the extra overhead.You can analyze this pretty simply by asking a few questions.First, are there any solutions other than machine learning?For many problems, like speech recognition or some applications of computer vision, machine learning is currently the only viable solution.Second, can you replicate the quality of ML prediction with other solutions?Let’s say you’re building a recommendation system, for example. If you don’t collect much user information, and you only have 100 blog posts to recommend, you can probably use a basic tagging system (i.e. if a user likes Javascript, show them articles tagged “Javascript”):However, if you are curating a massive library of content and you have robust user data, machine learning is uniquely powerful in its ability to provide personalized recommendations.Finally, can your other solution scale as well as machine learning?One of the central promises of ML is that it is dynamic enough to remove the “human in the loop” from processes that traditionally require some manual intervention. For example, inventory management is a messy process. Products often have incomplete information, listed in inconsistent ways. As a result, manual processing is often required.For small quantities of products, manual processing is fine as an alternative to machine learning—but at scale, it can’t compare. To process one million products would require many humans working for many hours each, whereas a product like Glisten, which uses machine learning to parse product data, can do it rapidly:The problem is that oftentimes, machine learning’s cool factor leads to it being applied in situations that don’t entirely make sense, contributing to the general skepticism many have of machine learning as “just another hype cycle.”The reality is that just like any other popular technology, there are use cases where machine learning is the ideal solution, and others where it is not. Knowing whether or not your project calls for machine learning can be the hardest part of getting started—particularly if you aren’t experienced in the field—but hopefully, this is a helpful start.If you want to see some examples of production machine learning projects, check out the Cortex examples repo.WRITTEN BY"
3,How to Get Beautiful Results with Neural Style Transfer,https://towardsdatascience.com/how-to-get-beautiful-results-with-neural-style-transfer-75d0c05d6489?source=collection_category---4------1-----------------------,"I
recently became interested in generating a Medium profile picture with Machine Learning. This pulled me deep into the land of Neural Style Transfer. While NST is conceptually simple to understand, generating high quality images is surprisingly difficult. There are a lot of intricate details and unmentioned tricks that one must implement correctly in order to get great results. In this article, we’ll dive deep into Neural Style Transfer and examine what these tricks are in detail.There are a number of solid introductions to NST, both on Medium and other publications, so I won’t waste any time going over the basics. If you have no idea what NST is (or you want to follow along with the article) a great way to get started is by looking at the official PyTorch tutorial. Unfortunately, like many other introductory articles, the final implementation generates mediocre results at best (Figure 1). We’ll spend the next few sections updating the tutorial code to improve the transfer quality, but first we go on a tangent.All the accompanying code for this article can be found on my GitHub.Most of the Gatys et al. paper which introduced Neural Style Transfer is simple and straightforward to understand. However, one question that does not get addressed is why the Gram matrix is a natural way to represent style (i.e. texture)?At a high level, the Gram matrix measures the correlations between different feature maps in the same layer. A feature map is simply the post-activation output of a convolutional layer. For example, if a convolutional layer has 64 filters, it will output 64 feature maps. The Gram matrix then measures the correlation (similarity) between each feature map and every other feature map in the layer, without necessarily caring about exact pixel positions. To illustrate why this is a reasonable measure of texture, suppose we have two filters, one which detects blue things and one which detects spirals. We can apply these filters to an input image to produce 2 filter maps and measure their correlation. If the filter maps are highly correlated, then any spiral present in the image is almost certain to be blue. This means the texture of the image is composed of blue spirals, instead of red, green, or yellow spirals.Although this explanation still leaves me slightly uneasy, it seems to be a widely accepted fact in the texture synthesis community that the Gram matrix corresponds to style, as this article explains. Furthermore, we can’t deny that the results we get by using the Gram matrix are impressive.The first step to improve transfer quality is to fix the PyTorch tutorial implementation. The tutorial tries to be faithful to the Gatys et al. paper but misses a few things along the way. For one thing, the paper’s authors replace the MaxPool2d with an AvgPool2d as they found it produces higher quality results. Another detail is that the tutorial computes the ContentLoss and StyleLoss on the outputs of the convolutions instead of the the ReLU activations. This is more of a nitpick since I did not notice a big difference between using the convolutions vs. the ReLUs in my experiments.The most egregious difference between the tutorial and paper is that the “wrong” layers are used for the ContentLoss and StyleLoss respectively. I put wrong in quotes as the choice of layers is largely subjective and depends heavily on what produces the most pleasing style. That being said, there are some rules of thumb we can use to guide our decision. When measuring content similarity, the lower layers tend to activate most highly when there is a pixel perfect match between the content_img and the generated input_img. The deeper we go into the network, the less the layers care about an exact match, and instead activate highly when features are generally in the right place. To visualize what each layer is most concerned with, we can set style_weight=0 and run the training process on a random input_img using different layers as the content_layer.The tutorial uses the 4th convolution (conv2_2 in Figure 2) as the content layer. As we can see in Figure 3 above, this is likely too low of a layer to use for content as the network still cares about matching pixels exactly at this depth. Gatys et al. use conv4_2 instead, which is much more concerned with the overall feature arrangement instead of individual pixels.In the case of style, lower layers respond to small repetitive features while higher layers capture more abstract, global features. Therefore, in order to transfer the whole style of the style_img— from low level details to overarching motifs — we should include layers from all depths in the network. The tutorial uses the first 5 convolution layers, but these are all fairly low in the network and are unlikely to capture global features. Gatys et al. use conv1_1, conv2_1, conv3_1, conv4_1, and conv5_1, a nice distribution of layers across the entire network hierarchy. We can use the same method we used for content to visualize the style each choice of layers is optimizing for. To do this, we set content_weight=0, specify which style_layers we want to use, and run the training process on a random input_img.As expected, the style optimized by the tutorial layers captures low level, repetitive features but fails to capture high level, global features.The fixes we’ve implemented so far should get us fairly close to the quality seen in the Gatys et al. paper. From here, we’ll go even deeper and look at what next steps we can take to generate even better images.One of the first things I changed from the paper was to switch the optimizer from L-BFGS to Adam. In the paper, the authors claim that L-BFGS results in higher quality transfer but I did not notice a difference when using Adam in my experiments. Furthermore, Adam seemed to be more stable, especially when training for a large number of steps or with a large style_weight. In these cases, L-BFGS seemed to NaN out, probably due to exploding gradients (though I didn’t look too deeply into it).Another minor tweak was to switch the mse_loss (i.e. L2 loss) to l1_loss. I can’t think of a good reason to use L2 loss for style transfer (besides differentiability at 0) as the square term heavily penalizes outliers. As alluded to in the previous section, we don’t really care about matching pixels exactly and can tolerate a few outliers in the generated image. Indeed, the outliers may even lead to more visually pleasing results as the style and content features are blended together. Finally, the authors of Feature Visualization — a must read article on a related topic — also use l1_loss for their task, likely for similar reasons.Actually, a lot of the tricks used to generate high quality Feature Visualizations elegantly transfer over to Neural Style Transfer. In fact, FV and NST are conceptually very similar and only differ in how they generate the input_img. In NST the input_img is optimized to activate different layers in a network in the same way as the content_img and style_img. FV on the other hand does not use a content_img and style_img but instead generates an input_img which maximally excites neurons in different layers.One trick I borrowed from FV is to use data augmentation on the input_img. This works exactly the same as with regular classification tasks: at each step, we apply some augmentations to the input_img (e.g rotation, cropping, resizing, etc.) before running it through the model and computing the loss. By augmenting the input_img at each step, we’re forcing the input_img to generate features which are robust to minor perturbations. These robust features should contain less high frequency artifacts and generally look more visually appealing.¹ However, I found the augmentations used in the Feature Visualization article to be very aggressive and had to scale them down appropriately. Even so, there are still some rotation artifacts that develop around the edges of the generated image (Figure 5). The simplest way to get rid of these artifacts is to just crop the image down by a few pixels 🙃.Finally, the last modification I made was to switch the content_layer to conv3_2 instead of the conv4_2 Gatys et al. use. Most of the articles I read also recommend conv4_2, though I found that fine details get washed out at conv4_2 and the style overpowers the content in the generated image. On the other hand, conv3_2 still maintains these fine details without over-penalizing for pixel perfectness like lower layers do. Indeed, we can confirm that this is the case by looking at the Figure 3 again.We’ve now discussed all the tricks I’ve implemented in my Neural Style Transfer code. At this point, we’ve substantially improved the transfer quality over the original PyTorch tutorial. Furthermore, the content_weight and style_weight are a lot more robust to the specific choice of images. For example, in the PyTorch tutorial, I found that a good style_weight on one set of images did not readily transfer to another set without proper tuning.That being said, it’s possible to get even better results by trying to remove high frequency noise in the generated image. The most interesting approach to this that I came across was from the article Differentiable Image Parameterization — another must read which touches on similar topics. In the article, the authors generate the input_img by first parameterizing it in (decorrolated) Fourier space instead of (corrolated) pixel space. Since the input_img is generated via gradient descent, decorrelating the input acts as a preconditioner which makes optimization easier by allowing gradient descent to find minima more quickly (similar to removing correlated features in supervised learning tasks). Why that leads to higher quality transfer is not entirely clear to me, besides hand-wavy explanations like the minima found in decorrelated space are wider and more robust.A simpler approach is to dampen high frequency noise by penalizing it either directly or indirectly. The noise can be directly penalize by adding the total variation loss of the input_img to the optimization objective. Conversely, it’s possible to implicitly penalize the noise by either blurring the input_img after each gradient descent step, or by blurring the gradients before applying them to the input_img. One issue with both approaches is that they also adversely penalize true high frequency features. This can be somewhat ameliorated by scaling down either the total variation loss or the amount of blur during training.If you made it this far, you should now know quite a lot about generating beautiful images with Neural Style Transfer. While conceptually simple, getting high quality results requires a lot of care. My original goal was to use Machine Learning to generate a Medium profile picture. After much trial and error, I think I’ve stumbled on something that looks pretty striking. To me, the most exciting part of this whole process is the end-to-end differentiability of Neural Networks. With very little effort, we were able to “invert” a model originally trained to discriminate between cats and dogs, and use it to generate countless images in a myriad different styles. Try doing that with a random forest.If you enjoyed this article, follow me to get notified when I post new stuff. All the code is available on my GitHub.Eugen Hotaj,
March 27, 2020WRITTEN BY"
4,En-Lightning Reinforcement Learning,https://towardsdatascience.com/en-lightning-reinforcement-learning-a155c217c3de?source=collection_category---4------2-----------------------,"This article looks at using PyTorch Lightning for the exciting domain of Reinforcement Learning (RL). Here we are going to build a standard Deep Q Network (DQN) model using the classic CartPole gym environment to illustrate how to start using Lightning to build your RL models.In this article we will cover:If you would like to jump straight to the code you can find the example in the PyTorch Lightning examples page or check out the interactive colab notebook by clicking the colab icon below!Lightning is a recent PyTorch library that cleanly abstracts and automates all the day to day boilerplate code that comes with ML models, allowing you to focus on the actual ML part (the fun part!) . If you haven’t already, I highly recommend you check out some of the great articles published by the Lightning teamAs well as automating boilerplate code, Lightning acts as a type of style guide for building clean and reproducible ML systems.This is very appealing for a few reasons:Before we get into the code, lets do a quick recap of what a DQN does. A DQN learns the best policy for a given environment by learning the value of taking each action A while being in a specific state S. These are known as Q values.Initially the agent has a very poor understanding of its environment as it hasn’t had much experience with it. As such, its Q values will be very inaccurate. However, over time as the agent explores its environment, it learns more accurate Q values and can then make good decisions. This allows it improve even further, until it eventually converges on an optimal policy (ideally).Most environments of interest to us like modern video games and simulations are far too complex and large to store the values for each state/action pair. This is why we use deep neural networks to approximate the values.The general life cycle of the agent is described below:That’s a high level overview of what the DQN does. For more information there are lots of great resources on this popular model out there for free such as the PyTorch example. If you want to learn more about reinforcement learning in general, I highly recommend Maxim Lapan’s latest book Deep Reinforcement Learning Hands On Second EditionLets take a look at the parts that make up our DQNModel: The neural network used to approximate our Q valuesReplay Buffer: This is the memory of our agent and is used to store previous experiencesAgent: The agent itself is what interacts with the environment and the replay bufferLightning Module: Handles all the training of the agentFor this example we can use a very simple Multi Layer Perceptron (MLP). All this means is that we aren’t using anything fancy like Convolutional or Recurrent layers, just normal Linear layers. The reason for this is due to the simplicity of the CartPole environment, anything more complex than this would be overkill.The replay buffer is fairly straight forward. All we need is some type of data structure to store tuples. We need to be able to sample these tuples and also add new tuples. This buffer is based off Lapins replay buffer found here as it is the cleanest and fastest implementation I have found so far. That looks something like thisBut we aren’t done. If you have used Lightning before you know that its structure is based around the idea of DataLoaders being created and then used behind the scenes to pass mini batches to each training step. It is very clear how this works for most ML systems such as supervised models, but how does it work when we are generating our dataset as we go?We need to create our own IterableDataset that uses the continuously updated Replay Buffer to sample previous experiences from. We then have mini batches of experiences passed to the training_step to be used to calculate our loss, just like any other model. Except instead of containing inputs and labels, our mini batch contains (states, actions, rewards, next states, dones)You can see that when the dataset is being created, we pass in our ReplayBuffer which can then be sampled from to allow the DataLoader to pass batches to the Lightning Module.The agent class is going to handle the interaction with the environment. There are 3 main methods that are carried out by the agentget_action: Using the epsilon value passed, the agent decides whether to use a random action, or to take the action with the highest Q value from the network output.play_step: Here the agent carries out a single step through the environment with the action chosen from get action. After getting the feedback from the environment, the experience is stored in the replay buffer. If the environment was finished with that step, the environment resets. Finally, the current reward and done flag is returned.reset: resets the environment and updates the current state stored in the agent.Now that we have our core classes for our DQN set up we can start looking at training the DQN agent. This is where Lightning comes in. We are going lay out all of our training logic in a clean and structured way by building out a Lightning Module.Lightning provides a lot of hooks and override-able functions allowing for maximum flexibility, but there are 4 key methods that we must implement to get our project running. That is the following.With these 4 methods populated we can make pretty train any ML model we would encounter. Anything that requires more than these methods fit in nicely with the remaining hooks and callbacks within Lightning. For a full list of these available hooks, check out the Lightning docs . Now, lets look at populating our Lightning methods.First we need to initialize our environment, networks, agent and the replay buffer. We also call the populate function which will fill the replay buffer with random experiences to begin with (The populate function is shown in the full code example further down).All we are doing here is wrapping the forward function of our primary DQN network.Before we can start training the agent, we need to define our loss function. The loss function used here is based off Lapan’s implementation which can be found here.This is a simple mean squared error (MSE) loss comparing the current state action values of our DQN network with the expected state action values of the next state. In RL we don’t have perfect labels to learn from. Instead, the agent learns from a target value of what it expects the value of the next state to be.However, by using the same network to predict the values of the current state and the values of the next, the results become an unstable moving target. To combat this we use a target network. This network is a copy of the primary network and is synced with the primary network periodically. This provides a temporarily fixed target to allow the agent to calculate a more stable loss function.As you can see, the state action values are calculated using the primary network, while the next state values (the equivalent of our target/labels) uses the target network.This is another simple addition of just telling Lightning what optimizer will be used during backprop. We are going to use a standard Adam optimizer.Next, we need to provide our training dataloader to Lightning. As you would expect, we initialize the IterableDataset we made earlier. Then just pass this to the DataLoader as usual. Lightning will handle providing batches during training and converting these batches to PyTorch Tensors as well as moving them to the correct device.Finally we have the training step. Here we put in all the logic to be carried out for each training iteration.During each training iteration we want our agent to take a step through the environment by calling the agent.play_step() defined earlier and passing in the current device and epsilon value. This will return the reward for that step and whether the episode finished in that step. We add the step reward to the total episode in order to keep track of how successful the agent was during the episode.Next, using the current mini batch provided by Lightning, we calculate our loss.If we have reached the end of an episode, denoted by the done flag, we are going to update the current total_reward variable with episode reward.At the end of the step we check if it is time to sync the main network and target network. Often a soft update is used where only a portion of the weights are updated, but for this simple example it is sufficient to do a full update.Finally, we need to return a Dict containing the loss that Lightning will use for backpropagation, a Dict containing the values that we want to log (note: these must be tensors) and another Dict containing any values that we want displayed on the progress bar.And that’s pretty much it! we now have everything we need to run our DQN agent.All that is left to do now is initialize and fit our Lightning Model. In our main python file we are going to set our seeds and provide an arg parser with any necessary hyper parameters we want to pass to our model.Then in our main method we initialize the DQNLightning model with our specified parameters. Next the Lightning Trainer is setup.Here we set the Trainer to use the GPU. If you don’t have access to a GPU, remove the ‘gpus’ and ‘distributed_backend’ args from the Trainer. This model trains very quickly, even when using a CPU, so in order to see Lightning in action we are going to turn early stopping off.Finally, because we are using an IterableDataset, we need to specify the val_check_interval. Usually this interval is automatically set by being based of the length of the Dataset. However, IterableDatasets don’t have a __len__ function. So instead we need to set this value ourselves, even if we are not carrying out a validation step.The last step is to call trainer.fit() on our model and watch it train. Below you can see the full Lightning codeAfter ~1200 steps you should see the agents total reward hitting the max score of 200. In order to see the reward metrics being plotted spin up tensorboards.On the left you can see the reward for each step. Due to the nature of the environment this will always be 1, as the agent gets +1 for every step that the pole has not fallen (that’s all of the them). On the right we can see the total rewards for each episode. The agent quickly reaches the max reward and then fluctuates between great episodes and not so great.You have now seen how easy and practical it is to utilize the power of PyTorch Lightning in your Reinforcement Learning projects.This a very simple example just to illustrate the use of Lightning in RL, so there is a lot of room for improvement here. If you want to take this code as a template and try and implement your own agent, here are some things I would try.I hope this article was helpful and will help kick start your own projects with Lightning. Happy coding!WRITTEN BY"
5,Where you should drop Deep Learning in favor of Constraint Solvers,https://towardsdatascience.com/where-you-should-drop-deep-learning-in-favor-of-constraint-solvers-eaab9f11ef45?source=collection_category---4------0-----------------------,"Machine Learning and Deep Learning are ongoing buzzwords in the industry. Branding ahead of functionalities led to Deep Learning being overused in many artificial intelligence applications.This post will provide a quick grasp at constraint satisfaction, a powerful yet underused approach which can tackle a large number of problems in AI and other areas of computer science, from logistics and scheduling to temporal reasoning and graph problems.Let’s consider a factual and highly topical problem.A pandemic is rising. Hospitals must organize quickly to treat ill people.The world needs an algorithm which matches infected people and hospitals together given multiple criteria such as the severity of illness, patient age and location, hospital capacity and equipment, etc.Many would say that a neural network would be the perfect fit for it: different configurations from a broad range of parameters that need to be reduced to a unique solution.However, there are downsides which would undermine such an approach:On the other hand, if formulated in terms of a boolean satisfiability problem, the situation wouldn’t have any of the aforementioned downsides while still giving a sub-optimal solution in nondeterministic polynomial time (NP-complete problem), and without the need for any historical data.Disclaimer: the purpose of this post is to deliver a quick look at CSPs. Theory and problem formulation will be much overlooked. For a more rigorous approach, please refer to [2][3][4].This post will provide a gentle introduction to constraint programming, aiming to resolve this case study. This map of the pandemic (1) illustrates the output of our algorithm which will match infected people with hospitals.There are several frameworks for constraint solving. Google Optimization Tools (a.k.a., OR-Tools) is an open-source software suite for solving combinatorial optimization problems. Our problem will be modeled using this framework in Python.For now, let’s simplify the problem to 4 parameters (1):Let’s define those parameters in python:A constraint satisfaction problem consists of a set of variables that must be assigned values in such a way that a set of constraints is satisfied.Let define as our indexed family of variables :If in the hospital i, the bed j is taken by the person k then xᵢⱼₖ = 1. In order to associate each bed of an hospital to an ill person, the goal is to find a set of variables that satisfies all of our constraints.We can add those variables to our model:Hard constraints define a goal for our model. They are essential, if they are not resolved then the problem can’t be tackled:Let’s focus on the first hard constraint. For each bed j in every hospital i:Hence, it can be expressed in the following way:Our solver is a combinatorial optimization solver, it can process integer constraints only. Hence, must be turned into an integer equation:This inequality can then be added to our model.Next, the second hard constraint: for every patient k:In the same way, can be translated into an integer inequality:Finally, this constraint can be added to the model.Next, there are soft constraints. Those are highly desired: our solution must try to satisfy them as much as possible, yet they are not essential to find a solution:While hard constraints are modeled as equalities or inequalities, soft constraints are expressions we want to minimize or maximize.Let Ω be the set of all solutions that satisfy the hard constraints.Every sick person should be placed into a bed means to maximize the number of occupied beds.Every person should be handled by the nearest hospital means to minimize the distance between every patient and his assigned hospital.Sick persons in a severe condition should be handled first when there are not enough beds means to maximize the total severity of all handled patients. By denoting sev(k) the severity of the patient k:Then we can reduce all the soft constraints into a single objective:One needs to be careful then: these soft constraints don’t have the same domain.Given that all of these constraints share the same priority, we must define penalty factors to equilibrate the different constraints.Here is the corresponding code:Now we can launch the solver. It will try to find the optimal solution within a specified time limit. If it can’t manage to find the optimal solution, it will return the closest sub-optimal solution.In our case, the solver returns an optimal solution in 2.5 seconds (2).To create this solution, all it takes is 1 hour of research and 30 minutes of programming.For a Deep Learning counterpart, one can predict a few days of data cleansing, at least a day to test different architectures and another day for training.Moreover, a CP-SAT model is very robust if well modelized. Below are the results with different simulation parameters (3). Results are still coherent in many different cases, and with increased simulation parameters (3000 patients, 1000 beds), solution inference took a little less than 3 minutes.Of course, CSPs hardly apply to topics like computer vision and NLP, where Deep Learning is sometimes the best approach. However, in logistics, scheduling and planning, it is often the way to go.Special thanks to Laurent Perron, and his Operations Research team at Google for their fantastic work, and for the time they take to answer technical questions on StackOverflow, GitHub and Google Groups.Antoine Champion, Apr. 1st 2020[1] Jingchao Chen, Solving Rubik’s Cube Using SAT Solvers, arXiv:1105.1436, 2011.[2] Biere, A., Heule, M., and van Maaren, H. Handbook of satisfiability, volume 185. IOS press, 2009a[3] Knuth, D. E., The art of computer programming, Volume 4, Fascicle 6: Satisfiability. Addison-Wesley Professional, 2015[4] Vipin Kumar, Algorithms for constraint-satisfaction problems: a survey, AI Magazine Volume 13, Issue 1, 1992.WRITTEN BY"
